"id","ta_abbr","tech_area","cntr_abbr","country","priority"
2497,"r5","Risk Communication","SVN","slovenia","Expand the proposed government crisis communication plan to an all-hazards national risk communication plan."
2498,"poe","Points of Entry","SVN","slovenia","Conduct a human, animal, and food risk assessment based on incoming travelers and consignments, considering the additional policies, human resources, and equipment needed to strenghten quarantine and isolation procedures for major public health risks."
2499,"ce","Chemical Emergencies","SVN","slovenia","Formalize the routine sharing of case-based information regarding chemical events in order to improve the overall national risk assessment. 5"
2500,"re","Radiation Emergencies","SVN","slovenia","Strengthen models for occupational protection among first responders who could potentially be exposed to radiation hazards, while increasing their capacity to stabilize patients on-site."
2501,"p2","IHR Coordination, Communication and Advocacy","SVN","slovenia","Strengthen intersectoral communication and coordination regarding the IHR and responses to public health threats, and clarify the roles of the participating institutions. 8 of IHR Core Capacities of the Republic of Slovenia"
2502,"p4","Zoonotic Disease","SVN","slovenia","Enhance training of veterinary and public health professionals on the management of zoonotic diseases, using a One Health approach."
2503,"p5","Food Safety","SVN","slovenia","Enforce inter-sectoral and multidisciplinary cooperation for food and feed, using a One Health approach."
2504,"p6","Biosafety and Biosecurity","SVN","slovenia","Consolidate the common curriculum for biosafety and biosecurity for human, veterinary, and agricultural laboratories, as well as industry partners."
2505,"p7","Immunization","SVN","slovenia","Increase interoperability among regional immunization registries and electronic health records. 24 of IHR Core Capacities of the Republic of Slovenia"
2506,"d1","National Laboratory System","SVN","slovenia","Evaluate the options for rapid data analysis and outbreak detection, including the combination of data from human and veterinary surveillance programmes through the development of systems for electronic data collection."
2507,"d2","Real Time Surveillance","SVN","slovenia","Create an electronic data management system for integration of data from clinical case reporting with data from microbiological laboratories."
2508,"d4","Workforce Development","SVN","slovenia","Utilize training opportunities available in neighbouring countries and the EU, to supplement the workforce through regional collaboration."
2509,"r2","Emergency Response Operations","SVN","slovenia","Develop common information technology standards to include all institutions in the system."
2510,"r3","Linking Public Health and Security Authorities","SVN","slovenia","Review, make recommendations, and initiate processes to improve efficient planning and legislation among the traditional security and public health sectors."
2511,"r5","Risk Communication","SVN","slovenia","Strengthen community engagement mechanisms to better assess risk perception through formative research, and test public health messages in target audiences."
2512,"poe","Points of Entry","SVN","slovenia","Continuous training and simulation exercises should be carried out at points of entry to improve multisectoral preparedness and response."
2513,"re","Radiation Emergencies","SVN","slovenia","Continue to strengthen the capacity of the primary treatment hospital to enable whole-body dosimetry, risk stratification, and long-term follow-up."
2514,"p6","Biosafety and Biosecurity","SVN","slovenia","Establish a common train-the-trainers programme in the area of biosafety and biosecurity, and maintain staff training at all facilities."
2515,"d1","National Laboratory System","SVN","slovenia","Ensure upsurge capacity of technical and human resources in epidemic situations."
2516,"d2","Real Time Surveillance","SVN","slovenia","Train and maintain human resources for health information technologies, data management, and analytic systems."
2517,"d4","Workforce Development","SVN","slovenia","Develop positions for other types of public health professionals, including Masters-level specialists, social scientists, and health information technologists."
2518,"r5","Risk Communication","SVN","slovenia","Strengthen mechanisms for dynamic listening and rumour detection, verification and response through effective communication channels."
2519,"poe","Points of Entry","SVN","slovenia","Financing is required for human resources and equipment at points of entry, to enable the handling of large numbers of passengers, and/or long-term holding at the airport."
2520,"d1","National Laboratory System","SVN","slovenia","Develop a coordination mechanism for sharing specimens between public health and veterinary laboratories. 2"
2521,"r5","Risk Communication","SVN","slovenia","Conduct regular risk communication trainings, workshops, and simulation exercises to test an all- hazards risk communications plan, and strengthen local, regional and national capacities among government agencies and stakeholders. 50 of IHR Core Capacities of the Republic of Slovenia"
